style_id,order_id,factory_name,factory_code,factory_location,contact_person,status,start_date
CCAW230067,ORDER-HF001-0001,东台鸿丰服饰有限公司,HF001,江苏省东台市,黄厂长,合作中,2023-01-01
9141844,ORDER-HF001-0002,东台鸿丰服饰有限公司,HF001,江苏省东台市,黄厂长,合作中,2023-01-01
